"","player_api_id","overall_rate","gk_rate","player_name","appear","league"
"1",2625,63,153,"Patryk Rachwal,18",90,1
"2",2752,72,53,"Diego Mainz",81,1
"3",2768,75,128,"Jose Dorado",71,1
"4",2770,74,148,"Ignacio Gonzalez",16,2
"5",2790,73,144,"Alberto Rey",50,1
"6",2796,69,340,"Javier Jimenez",1,1
"7",2802,82,146,"Pablo Hernandez",144,2
"8",2805,76,141,"Ruben Perez",131,1
"9",2857,72,143,"Ivan Perez",3,1
"10",2862,76,146,"Vicente Sanchez",17,1
"11",2907,68,135,"Gregory Lacombe",6,1
"12",2973,72,147,"Ugur Inceman",16,1
"13",2977,82,104,"David Rivas Rodriguez",5,1
"14",2983,75,139,"Jorge Molina",71,1
"15",2984,75,364,"Sergio Aragones",38,1
"16",3140,69,136,"Alexandre Hauw",42,1
"17",3204,81,156,"Marat Izmailov",42,1
"18",3263,67,115,"Kelly Berville",19,1
"19",3264,62,98,"Abdelmalek Cherrad",1,1
"20",3316,71,108,"Oscar Sanchez",6,1
"21",3329,64,130,"Vincent Euvrard",85,1
"22",3377,72,138,"Luca Belingheri",1,1
"23",3441,71,138,"Aleksander Radosavljevic",74,1
"24",3512,75,143,"Peter Halmosi",4,1
"25",3517,82,149,"Alexandr Kerzhakov",17,1
"26",3520,86,159,"Andrey Arshavin",70,1
"27",4747,73,128,"Lee Wilkie",36,1
"28",4863,66,54,"Boban Grncarov",25,1
"29",4902,77,145,"Iriney",68,1
"30",4939,64,116,"Tim Clancy",97,1
"31",4999,59,108,"Sebastian Olszar",49,1
"32",5016,65,50,"Ibrahim Sidibe",69,1
"33",5044,68,344,"Jeroen Verhoeven",21,1
"34",5047,61,309,"Wilko de Vogt",10,1
"35",5063,68,61,"Sander Duits",106,1
"36",5184,62,108,"Gudmundur Steinarsson",5,1
"37",5192,72,146,"Manuel Silas",52,1
"38",5202,73,139,"Remy Gomis",163,1
"39",5217,77,140,"Laurent Batlles",102,1
"40",5223,63,52,"Raffaele Rubino",7,1
"41",5233,73,132,"Iban Javier Cuadrado",18,1
"42",5243,76,149,"Julio Alvarez",38,1
"43",5247,67,118,"Perez Richi",16,1
"44",5272,68,126,"Gary Coulibaly",27,1
"45",5362,60,121,"Ifet Taljevic,23",24,1
"46",5440,67,332,"Marjan Petkovic",5,1
"47",5468,62,48,"Freddy Mombongo-Dues",7,1
"48",5610,75,133,"Yann Jouffre",141,1
"49",5629,73,101,"Bertrand Robert",3,1
"50",5631,68,113,"Jeremy Blayac",13,1
"51",5662,73,124,"Dimitri Bulykin",45,1
"52",5686,65,138,"Gerry Koning",28,1
"53",5687,66,52,"Rowin van Zaanen",20,1
"54",5693,71,148,"Kees Kwakman",119,1
"55",5700,65,132,"Charles Dissels",3,1
"56",5703,75,149,"Otman Bakkal",74,1
"57",5710,70,352,"Diederik Boer",53,1
"58",6757,60,42,"Denis Dessaer",1,1
"59",6771,60,51,"Oliver Vinamont",22,1
"60",6798,60,55,"Roel van Hemert",14,1
"61",6800,68,132,"Jonas Ivens",93,2
"62",6803,63,143,"Brecht Verbrugghe",16,1
"63",6824,72,128,"Pedro Kamata",1,1
"64",6853,76,169,"Fabian Vargas",18,1
"65",6864,75,134,"Santiago Acasiete",65,1
"66",6911,77,160,"Fabian Canobbio",38,1
"67",7099,60,123,"Toni Lehtinen",1,1
"68",7206,61,48,"Sebastian Sorsa",2,1
"69",7226,69,145,"Roni Porokara",16,1
"70",7284,72,130,"Kasper Haemaelaeinen",81,1
"71",7334,63,310,"Anssi Jaakkola",12,1
"72",7604,67,64,"Tom van Hyfte",33,1
"73",7616,63,133,"Kristian Nushi",97,1
"74",7621,60,300,"Anthony Favre",51,1
"75",7627,63,76,"Thierno Bah",55,1
"76",7628,57,41,"Tibert Pont",27,1
"77",7663,55,56,"Jerome Schneider",36,1
"78",7681,59,128,"Josip Colina",49,1
"79",7683,66,49,"Alessandro Iandoli",57,1
"80",8777,60,97,"Michele Polverino",31,1
"81",8780,73,47,"Marco Perez",3,1
"82",8784,58,49,"Stefan Nater",87,1
"83",8800,63,63,"Thomas Reinmann",117,1
"84",8837,57,148,"Angelo Raso",43,1
"85",8840,66,140,"Cristian Florin Ianu",60,1
"86",8881,75,143,"Marco Padalino",38,2
"87",8893,65,62,"Antoine Rey",31,1
"88",8922,78,110,"Nikica Jelavic",120,2
"89",8925,52,49,"Ryan Thomson",11,1
"90",8930,72,114,"Hrvoje Cale",17,1
"91",8932,72,108,"Dino Drpic",15,1
"92",8985,76,136,"Mile Jedinak",78,1
"93",9079,73,143,"Mensur Mujdza",87,1
"94",9086,70,43,"Ivica Vrdoljak",112,1
"95",9124,67,125,"Ivan Radeljic,18",18,1
"96",9128,72,141,"Tomislav Dujmovic",9,1
"97",9144,61,131,"Yasin Karaca",8,1
"98",9149,65,101,"Joost Volmer",10,1
"99",9183,71,362,"Janos Balogh",34,1
"100",9203,65,59,"Tibor Tisza",3,1
"101",9213,70,57,"Peter Czvitkovics",11,1
"102",9307,66,126,"Balazs Toth",44,2
"103",9449,67,46,"Oleksandr Shevelyukhin",75,1
"104",10348,78,150,"Alejandro Dominguez",39,1
"105",10404,75,148,"Stanislav Vlcek",1,1
"106",10474,62,48,"Evaldas Razulis",5,1
"107",10491,79,155,"Diniyar Bilyaletdinov",33,1
"108",10637,72,361,"Andris Vanins",223,1
"109",10880,66,61,"Robbie Haemhouts",59,1
"110",10933,69,71,"Robert Jez",102,1
"111",10950,69,122,"Pavel Krmas",93,1
"112",10967,76,130,"Petr Jiracek",38,1
"113",10984,73,123,"Maros Klimpl",20,1
"114",11024,74,370,"Tomas Cerny",135,1
"115",11027,74,144,"Roman Hubnik",34,1
"116",11038,63,127,"Vojtech Schulmeister",2,1
"117",11049,70,137,"Matej Krajcik",6,1
"118",11052,70,135,"Michal Svec",37,1
