"","count","lat","lon"
"2",1,-40.5804655,175.3136218
"3",1,-38.9084403,-68.1101911
"4",6,-38.416097,-63.616672
"5",3,-37.813611,144.963056
"6",1,-37.4713077,144.7851531
"7",1,-36.749449,144.2817801
"8",5,-35.675147,-71.542969
"9",2,-34.9011127,-56.1645314
"10",4,-34.6036844,-58.3815591
"11",4,-33.8688197,151.2092955
"12",4,-33.4488897,-70.6692655
"13",1,-33.3529519,151.4435474
"14",1,-33.047238,-71.6126885
"15",2,-31.9505269,115.8604572
"16",1,-30.559482,22.937506
"17",1,-30.0002315,136.2091547
"18",1,-29.9132584,-51.1861921
"19",1,-29.2751535,-49.998236
"20",2,-28.6104322,153.1932534
"21",1,-28.4748354,-48.7837539
"22",1,-27.6387496,152.5928676
"23",1,-27.4697707,153.0251235
"24",1,-26.8082848,-65.2175903
"25",1,-25.5318354,-49.2035722
"26",7,-25.274398,133.775136
"27",1,-23.6473732,-46.8193874
"28",1,-23.6193615,-46.6784144
"29",4,-23.5505199,-46.6333094
"30",1,-23.442503,-58.443832
"31",2,-22.9068467,-43.1728965
"32",1,-22.7106685,-43.5522256
"33",1,-22.573256,-44.9693894
"34",1,-19.9166813,-43.9344931
"35",6,-14.235004,-51.92528
"36",1,-12.9371662,-38.360842
"37",1,-12.928791,-38.4161591
"38",1,-12.579738,-41.7007272
"39",3,-12.2720956,-76.2710833
"40",3,-12.046374,-77.0427934
"41",1,-9.6498487,-35.7089492
"42",3,-9.189967,-75.015152
"43",1,-8.783195,34.508523
"44",1,-8.091221,111.9641728
"45",1,-8.0578381,-34.8828969
"46",1,-7.8830648,112.5334492
"47",1,-7.1194958,-34.8448668
"48",1,-6.7765974,-79.8442978
"49",1,-6.5971469,106.8060388
"50",1,-6.1744651,106.822745
"51",1,-4.4420385,-61.3268535
"52",2,-3.7318616,-38.5266704
"53",2,-3.1190275,-60.0217314
"54",3,-2.1709979,-79.9223592
"55",6,-1.831239,-78.183406
"56",1,-1.2920659,36.8219462
"57",1,-1.2898914,36.7503364
"58",10,-0.789275,113.921327
"59",1,-0.1806532,-78.4678382
"60",1,-0.023559,37.906193
"61",1,0.18636,6.613081
"62",2,1.352083,103.819836
"63",1,1.4853682,103.7618154
"64",1,3.100227,101.715064
"65",1,3.139003,101.686855
"66",2,3.4516467,-76.5319854
"67",1,3.5354881,98.6655592
"68",2,3.919305,-56.027783
"69",4,4.570868,-74.297333
"70",2,4.7109886,-74.072092
"71",1,5.6037168,-0.1869644
"72",3,6.42375,-66.58973
