"","lon","lat"
"1",-90.1994042,38.6270025
"2",75.9637413,29.0971845
"3",-102.4107493,34.2331373
"4",NA,NA
"5",-99.133208,19.4326077
"6",-85.6023643,44.3148443
"7",-74.0059413,40.7127837
"8",NA,NA
"9",NA,NA
"10",-99.9018131,31.9685988
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",NA,NA
"17",100.8770813,12.9276082
"18",NA,NA
"19",0.1712529,48.8798704
"20",NA,NA
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",-71.2079809,46.8138783
"25",-1.1743197,52.3555177
"26",-81.5157535,27.6648274
"27",-105.7820674,39.5500507
"28",-85.969951,31.8087678
"29",-74.7276626,39.4523385
"30",NA,NA
"31",NA,NA
"32",-80.8431267,35.2270869
"33",-123.3283925,42.4390069
"34",-86.5804473,35.5174913
"35",NA,NA
"36",NA,NA
"37",NA,NA
"38",NA,NA
"39",-73.6742323,40.7422572
"40",-80.1917902,25.7616798
"41",NA,NA
"42",-74.4056612,40.0583238
"43",NA,NA
"44",138.252924,36.204824
"45",NA,NA
"46",NA,NA
"47",144.963056,-37.813611
"48",NA,NA
"49",-84.5149504,39.1329219
"50",76.085601,29.0587757
"51",NA,NA
"52",NA,NA
"53",-71.8874833,43.1472805
"54",NA,NA
"55",NA,NA
"56",-0.1277583,51.5073509
"57",-114.0708459,51.0486151
"58",NA,NA
"59",36.8219462,-1.2920659
"60",NA,NA
"61",-58.4743258,-34.5810346
"62",-118.4136037,34.0564227
"63",-89.3985283,32.3546679
"64",1.151361,49.0270129
"65",-84.516481,33.932414
"66",-106.346771,56.130366
"67",-63.616672,-38.416097
"68",NA,NA
"69",-105.7820674,39.5500507
"70",7.3071512,49.714528
"71",NA,NA
"72",-81.6943605,41.49932
"73",NA,NA
"74",-74.9325683,40.0994425
"75",-118.2436849,34.0522342
"76",NA,NA
"77",2.213749,46.227638
"78",NA,NA
"79",-80.1340772,25.7826123
"80",NA,NA
"81",NA,NA
"82",-58.3902078,-34.6044174
"83",NA,NA
"84",NA,NA
"85",-122.019246,37.358859
"86",-99.9018131,31.9685988
"87",NA,NA
"88",NA,NA
"89",-85.3232139,51.253775
"90",NA,NA
"91",-121.8863286,37.3382082
"92",-84.942083,41.7745392
"93",NA,NA
"94",NA,NA
"95",-98.8719843,30.2752011
"96",-1.1581086,52.9547832
"97",NA,NA
"98",-115.1398296,36.1699412
"99",-83.6129939,42.2411499
"100",NA,NA
"101",-102.552784,23.634501
"102",-66.9347651,10.5057527
"103",NA,NA
"104",-74.9676365,14.5401107
"105",NA,NA
"106",-82.9000751,32.1656221
"107",-75.015152,-9.189967
"108",-77.1945247,41.2033216
"109",-89.3985283,40.6331249
"110",NA,NA
"111",-81.5157535,27.6648274
"112",-51.92528,-14.235004
"113",-119.4179324,36.778261
"114",-97.9526035,30.3609069
"115",NA,NA
"116",-104.990251,39.7392358
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",80.2203694,12.9720556
"121",-43.1728965,-22.9068467
"122",75.777846,31.1240175
"123",-100.3161126,25.6866142
"124",-78.8783689,42.8864468
"125",-123.1207375,49.2827291
"126",NA,NA
"127",-89.3985283,40.6331249
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",-58.3815591,-34.6036844
"132",-81.9081937,41.375049
"133",-98.1244531,29.7030024
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",-95.2860474,29.5635666
