"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SxxxyILcouple24: With Love... Happy Valentines Day!
<U+2764><ed><U+00A0><U+00BD><ed><U+00B2><U+008B><U+2698><ed><U+00A0><U+00BC><ed><U+00BD><U+00AB><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #tittyTuesday #onlyforyou #ValentinesDay https://t.co/zwOs9fGEN1",FALSE,0,NA,2017-02-16 03:50:47,FALSE,NA,"832074720635912193",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","ricky86809928",10,TRUE,FALSE,NA,NA
"2","RT @jazya04: The difference between my brother and sister when I asked a question yesterday <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #valentinesday https://t.co/GiLLqOx9ra",FALSE,0,NA,2017-02-16 03:50:46,FALSE,NA,"832074718924599296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RachNazty",6,TRUE,FALSE,NA,NA
"3","RT @popwrecked: The official #ValentinesDay photo of @KendallKarsonXo is so hot, we should extend the holiday to two days. #PopwreckedAppro…",FALSE,0,NA,2017-02-16 03:50:44,FALSE,NA,"832074707969126401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tinisharivas151",559,TRUE,FALSE,NA,NA
"4","RT @nunmaew97: <U+0E41><U+0E08><U+0E01><U+0E0A><U+0E38><U+0E14><U+0E16><U+0E19><U+0E2D><U+0E21><U+0E2A><U+0E32><U+0E22><U+0E0A><U+0E32><U+0E23><U+0E4C><U+0E08><U+0E41><U+0E25><U+0E30><U+0E2A><U+0E15><U+0E34><U+0E4A><U+0E01><U+0E40><U+0E01><U+0E2D><U+0E23><U+0E4C><U+0E44><U+0E25><U+0E19><U+0E4C><U+0E04><U+0E48><U+0E30>  <U+0E41><U+0E04><U+0E48> RT <ed><U+00A0><U+00BD><ed><U+00B4><U+0081> <U+0E17><U+0E27><U+0E35><U+0E15><U+0E19><U+0E35><U+0E49> 5555555 #You_Never_Walk_Alone #<U+BD04><U+B0A0> #NotToday #ValentinesDay https://…",FALSE,0,NA,2017-02-16 03:50:43,FALSE,NA,"832074705825730561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bai_Fern55",99,TRUE,FALSE,NA,NA
"5",".@Jaylee1103 on #Periscope: Drawing @IAMANITABAKER come chill &amp; chat with me! #ValentinesDay #ArtByJaylee1103 #Ar… https://t.co/JA1vx5Lra7",FALSE,0,NA,2017-02-16 03:50:42,FALSE,NA,"832074701786710017",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","monalisa421",0,FALSE,FALSE,NA,NA
"6","RT @cavs: This #ValentinesDay video was worth the wait … our squad will always love you. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/QUDTvpHuCY",FALSE,0,NA,2017-02-16 03:50:41,FALSE,NA,"832074697722437633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Candy_Mandy17",595,TRUE,FALSE,NA,NA
"7","RT @ClimateReality: We have to #ShowTheLove for the places we love and don’t want to lose to the climate crisis! #ValentinesDay https://t.c…",FALSE,0,NA,2017-02-16 03:50:38,FALSE,NA,"832074681901477889",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","BedeliaRising",29,TRUE,FALSE,NA,NA
"8","RT @readperbooks: #Read some romantic #horror this #ValentinesDay by @StephenVernon
https://t.co/hj4WiLdiE0
#IASMG #SFRTG #BYNR #indieautho…",FALSE,0,NA,2017-02-16 03:50:33,FALSE,NA,"832074664360960001",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AuthorJaxonReed",32,TRUE,FALSE,NA,NA
"9","RT @FiftyShades: Here’s hoping your #ValentinesDay is all tied up. #FiftyShadesDarker is now playing: https://t.co/SjtEjiAT3G https://t.co/…",FALSE,0,NA,2017-02-16 03:50:32,FALSE,NA,"832074658199515136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TOFERGIE",1325,TRUE,FALSE,NA,NA
"10","RT @LouisT91Updates: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B2> | Bloopers for the #ValentinesDay messages. Catch Louis around 00:27 <ed><U+00A0><U+00BD><ed><U+00B8><U+009D><ed><U+00A0><U+00BD><ed><U+00B8><U+009D>. Wishing love ! 

Feb 14, 2017 • ©@iHeartRad…",FALSE,0,NA,2017-02-16 03:50:32,FALSE,NA,"832074656769306628",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","larryismylife28",3747,TRUE,FALSE,NA,NA
