"","lon","lat"
"1",-75.015152,-9.189967
"2",-122.2653887,38.5024689
"3",-86.1349019,40.2671941
"4",-87.1821709,37.7327263
"5",NA,NA
"6",-158.0568965,21.3353909
"7",-90.1610378,40.560366
"8",-87.9064736,43.0389025
"9",-122.655448,45.5292666
"10",NA,NA
"11",-77.4799837,37.7590318
"12",NA,NA
"13",-71.0183787,42.0834335
"14",-106.346771,56.130366
"15",-94.6858998,46.729553
"16",NA,NA
"17",NA,NA
"18",-84.0907246,9.9280694
"19",-118.2436849,34.0522342
"20",NA,NA
"21",NA,NA
"22",-35.7089492,-9.6498487
"23",NA,NA
"24",NA,NA
"25",-118.2436849,34.0522342
"26",-1.5490774,53.8007554
"27",-105.7820674,39.5500507
"28",-157.9733333,21.3972222
"29",NA,NA
"30",NA,NA
"31",NA,NA
"32",NA,NA
"33",-127.6476206,53.7266683
"34",36.8219462,-1.2920659
"35",-78.183406,-1.831239
"36",NA,NA
"37",78.486671,17.385044
"38",NA,NA
"39",-119.4179324,36.778261
"40",-97.1383744,49.895136
"41",NA,NA
"42",-0.52039,51.885644
"43",79.861243,6.9270786
"44",-120.1972129,37.7107484
"45",10.451526,51.165691
"46",NA,NA
"47",-82.907123,40.4172871
"48",-118.4136037,34.0564227
"49",NA,NA
"50",-80.8575394,35.2205059
"51",NA,NA
"52",NA,NA
"53",-122.4082053,37.7849105
"54",-95.712891,37.09024
"55",79.0881546,21.1458004
"56",-87.5691735,33.2098407
"57",NA,NA
"58",NA,NA
"59",-86.39027,35.8456213
"60",NA,NA
"61",-122.2510484,37.5105474
"62",-75.9268747,40.3356483
"63",-81.5157535,27.6648274
"64",NA,NA
"65",-83.985,42.43472
"66",-79.0192997,35.7595731
"67",-81.5157535,27.6648274
"68",NA,NA
"69",-81.3792365,28.5383355
"70",NA,NA
"71",NA,NA
"72",NA,NA
"73",-73.567256,45.5016889
"74",113.921327,-0.789275
"75",NA,NA
"76",-102.552784,23.634501
"77",-120.7401386,47.7510741
"78",-94.5655066,37.1767249
"79",NA,NA
"80",-86.158068,39.768403
"81",-80.1917902,25.7616798
"82",NA,NA
"83",-122.0307963,36.9741171
"84",-0.1277583,51.5073509
"85",NA,NA
"86",-118.2436849,34.0522342
"87",-95.712891,37.09024
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",-94.5785667,39.0997265
"92",NA,NA
"93",-78.6381787,35.7795897
"94",114.109497,22.396428
"95",-80.1373174,26.1224386
"96",9.9936818,53.5510846
"97",-79.532157,43.8169837
"98",-112.0740373,33.4483771
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",51.5386659,25.2583192
"103",NA,NA
"104",73.8567437,18.5204303
"105",-81.78419,32.412215
"106",-115.1398296,36.1699412
"107",NA,NA
"108",NA,NA
"109",4.835659,45.764043
"110",NA,NA
"111",-118.2436849,34.0522342
"112",-102.5865558,22.7641984
"113",-117.1610838,32.715738
"114",NA,NA
"115",NA,NA
"116",-81.5157535,27.6648274
"117",-91.1403196,30.4582829
"118",NA,NA
"119",NA,NA
"120",-80.4831917,43.450301
"121",-74.0059413,40.7127837
"122",-83.985,42.43472
"123",-95.8243956,29.7857853
"124",-81.5157535,27.6648274
"125",-82.3940104,34.8526176
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",-98.4889642,29.6286476
"137",NA,NA
"138",-63.616672,-38.416097
"139",-82.907123,40.4172871
"140",-122.3320708,47.6062095
"141",-85.6023643,44.3148443
"142",-95.9979883,41.2523634
"143",-118.0275667,34.0686206
"144",8.5154946,47.1661672
"145",-118.3533783,34.1381168
"146",NA,NA
"147",-6.4923145,54.7877149
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",-86.4835916,33.234281
"157",-84.2700179,37.8393332
"158",-87.6297982,41.8781136
"159",NA,NA
"160",-111.9260519,33.4941704
"161",NA,NA
"162",-73.087749,41.6032207
"163",-85.8054879,30.1765914
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",-91.8318334,37.9642529
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",-73.087749,41.6032207
"175",-102.552784,23.634501
"176",-84.8902382,39.8289369
"177",-118.2436849,34.0522342
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",-111.0937311,34.0489281
"182",-71.0771663,42.2579713
"183",NA,NA
"184",NA,NA
"185",-90.153141,30.8471283
"186",-106.346771,56.130366
"187",NA,NA
"188",20.4489216,44.786568
"189",-95.712891,37.09024
"190",NA,NA
"191",NA,NA
"192",-84.8902382,39.8289369
"193",-95.712891,37.09024
"194",NA,NA
"195",-9.5668632,52.1544607
